"module name","version","license","repository"
"@babel/plugin-transform-modules-amd","7.19.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs","7.19.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs","7.19.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-named-capturing-groups-regex","7.19.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-super","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-parameters","7.20.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-property-literals","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-display-name","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source","7.19.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx","7.20.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regenerator","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-reserved-words","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-runtime","7.19.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-spread","7.19.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-sticky-regex","7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals","7.18.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typeof-symbol","7.18.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript","7.20.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-escapes","7.18.10","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex","7.18.6","MIT","https://github.com/babel/babel"
"@babel/preset-env","7.20.2","MIT","https://github.com/babel/babel"
"@babel/preset-flow","7.18.6","MIT","https://github.com/babel/babel"
"@babel/preset-modules","0.1.5","MIT","https://github.com/babel/preset-modules"
"@babel/preset-typescript","7.18.6","MIT","https://github.com/babel/babel"
"@babel/register","7.18.9","MIT","https://github.com/babel/babel"
"@babel/runtime","7.17.8","MIT","https://github.com/babel/babel"
"@babel/template","7.20.7","MIT","https://github.com/babel/babel"
"@babel/traverse","7.20.10","MIT","https://github.com/babel/babel"
"@babel/types","7.20.7","MIT","https://github.com/babel/babel"
"@discoveryjs/json-ext","0.5.7","MIT","https://github.com/discoveryjs/json-ext"
"@egjs/hammerjs","2.0.17","MIT","https://github.com/naver/hammer.js"
"@hapi/hoek","9.3.0","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/topo","5.1.0","BSD-3-Clause","https://github.com/hapijs/topo"
"@jest/create-cache-key-function","27.5.1","MIT","https://github.com/facebook/jest"
"@jest/types","26.6.2","MIT","https://github.com/facebook/jest"
"@jest/types","27.5.1","MIT","https://github.com/facebook/jest"
"@jridgewell/gen-mapping","0.1.1","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/gen-mapping","0.3.2","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri","3.0.5","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array","1.1.2","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec","1.4.11","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping","0.3.15","MIT","https://github.com/jridgewell/trace-mapping"
"@mendix/react-native-sqlite-storage","5.1.3","MIT","https://github.com/mendix/react-native-sqlite-storage"
"@nodelib/fs.scandir","2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat","2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk","1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@react-native-community/async-storage","1.12.0","MIT","https://github.com/react-native-community/react-native-async-storage"
"@react-native-community/cli-clean","9.2.1","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-config","9.2.1","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-debugger-ui","9.0.0","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-doctor","9.3.0","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-hermes","9.3.1","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-platform-android","9.3.1","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-platform-ios","9.3.0","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-plugin-metro","9.2.1","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-server-api","9.2.1","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-tools","9.2.1","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-types","9.1.0","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli","9.3.2","MIT","https://github.com/react-native-community/cli"
"@react-native-community/datetimepicker","3.0.3","MIT","https://github.com/react-native-community/datetimepicker"
"@react-native-community/masked-view","0.1.10","MIT","https://github.com/react-native-community/react-native-masked-view"
"@react-native-picker/picker","2.4.8","MIT","https://github.com/react-native-picker/picker"
"@react-native/assets","1.0.0","MIT","https://github.com/facebook/react-native"
"@react-native/normalize-color","2.0.0","MIT","https://github.com/facebook/react-native"
"@react-native/normalize-colors","0.72.0","MIT","https://github.com/facebook/react-native"
"@react-native/polyfills","2.0.0","MIT","https://github.com/facebook/react-native"
"@react-navigation/core","3.7.9","MIT","https://github.com/react-navigation/react-navigation-core"
"@react-navigation/native","3.8.4","MIT","https://github.com/react-navigation/react-navigation-native"
"@rollup/plugin-babel","5.3.1","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-commonjs","21.1.0","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-node-resolve","13.3.0","MIT","https://github.com/rollup/plugins"
"@rollup/pluginutils","3.1.0","MIT","https://github.com/rollup/plugins"
"@rollup/pluginutils","4.2.0","MIT","https://github.com/rollup/plugins"
"@sideway/address","4.1.4","BSD-3-Clause","https://github.com/sideway/address"
"@sideway/formula","3.0.1","BSD-3-Clause","https://github.com/sideway/formula"
"@sideway/pinpoint","2.0.0","BSD-3-Clause","https://github.com/sideway/pinpoint"
"@tootallnate/once","1.1.2","MIT","https://github.com/TooTallNate/once"
"@types/eslint-scope","3.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint","8.4.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree","0.0.39","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree","0.0.51","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/fs-extra","8.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/glob","7.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hammerjs","2.0.41","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage","2.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report","3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports","3.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema","7.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/minimatch","5.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node","17.0.23","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/resolve","1.17.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser","21.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs","15.0.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs","16.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@webassemblyjs/ast","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-buffer","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-numbers","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/leb128","1.11.1","Apache-2.0","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/utf8","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer","1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webpack-cli/configtest","1.2.0","MIT","https://github.com/webpack/webpack-cli"
"@webpack-cli/info","1.5.0","MIT","https://github.com/webpack/webpack-cli"
"@webpack-cli/serve","1.7.0","MIT","https://github.com/webpack/webpack-cli"
"@xtuc/ieee754","1.2.0","BSD-3-Clause","https://github.com/feross/ieee754"
"@xtuc/long","4.2.2","Apache-2.0","https://github.com/dcodeIO/long.js"
"InstallerTemplate","0.0.1","UNLICENSED","undefined"
"abbrev","1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"abort-controller","3.0.0","MIT","https://github.com/mysticatea/abort-controller"
"absolute-path","0.0.0","MIT","https://github.com/filearts/node-absolute-path"
"accepts","1.3.8","MIT","https://github.com/jshttp/accepts"
"acorn-import-assertions","1.8.0","MIT","https://github.com/xtuc/acorn-import-assertions"
"acorn-walk","8.2.0","MIT","https://github.com/acornjs/acorn"
"acorn","8.8.0","MIT","https://github.com/acornjs/acorn"
"agent-base","6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"ajv-keywords","3.5.2","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv","6.12.6","MIT","https://github.com/ajv-validator/ajv"
"anser","1.4.10","MIT","https://github.com/IonicaBizau/anser"
"ansi-escapes","4.3.2","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-fragments","0.2.1","MIT","https://github.com/zamotany/ansi-fragments"
"ansi-regex","2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex","4.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex","5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles","2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles","3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles","4.3.0","MIT","https://github.com/chalk/ansi-styles"
"anymatch","3.1.3","ISC","https://github.com/micromatch/anymatch"
"appcenter-file-upload-client","0.0.24","MIT","https://github.com/Microsoft/appcenter-file-upload-client"
"appdirsjs","1.2.7","MIT","https://github.com/codingjerk/appdirsjs"
"argparse","1.0.10","MIT","https://github.com/nodeca/argparse"
"arr-diff","4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten","1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union","3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-each","1.0.1","MIT","https://github.com/jonschlinkert/array-each"
"array-slice","1.1.0","MIT","https://github.com/jonschlinkert/array-slice"
"array-union","2.1.0","MIT","https://github.com/sindresorhus/array-union"
"array-unique","0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"asap","2.0.6","MIT","https://github.com/kriskowal/asap"
"assign-symbols","1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"ast-types","0.13.4","MIT","https://github.com/benjamn/ast-types"
"ast-types","0.14.2","MIT","https://github.com/benjamn/ast-types"
"astral-regex","1.0.0","MIT","https://github.com/kevva/astral-regex"
"async-limiter","1.0.1","MIT","https://github.com/strml/async-limiter"
"async","3.2.3","MIT","https://github.com/caolan/async"
"asynckit","0.4.0","MIT","https://github.com/alexindigo/asynckit"
"atob","2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"babel-core","7.0.0-bridge.0","MIT","undefined"
"babel-loader","8.3.0","MIT","https://github.com/babel/babel-loader"
"babel-plugin-inline-import","3.0.0","MIT","https://github.com/Quadric/babel-plugin-inline-import"
"babel-plugin-polyfill-corejs2","0.3.3","MIT","https://github.com/babel/babel-polyfills"
"babel-plugin-polyfill-corejs3","0.6.0","MIT","https://github.com/babel/babel-polyfills"
"babel-plugin-polyfill-regenerator","0.4.1","MIT","https://github.com/babel/babel-polyfills"
"babel-plugin-syntax-trailing-function-commas","7.0.0-beta.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-trailing-function-commas"
"babel-preset-fbjs","3.4.0","MIT","https://github.com/facebook/fbjs"
"balanced-match","1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base64-js","1.5.1","MIT","https://github.com/beatgammit/base64-js"
"base","0.11.2","MIT","https://github.com/node-base/base"
"big-integer","1.6.51","Unlicense","https://github.com/peterolson/BigInteger.js"
"big.js","5.2.2","MIT","https://github.com/MikeMcl/big.js"
"big.js","6.1.1","MIT","https://github.com/MikeMcl/big.js"
"bl","4.1.0","MIT","https://github.com/rvagg/bl"
"boolbase","1.0.0","ISC","https://github.com/fb55/boolbase"
"bplist-creator","0.1.0","MIT","https://github.com/nearinfinity/node-bplist-creator"
"bplist-parser","0.3.0","MIT","https://github.com/nearinfinity/node-bplist-parser"
"brace-expansion","1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces","2.3.2","MIT","https://github.com/micromatch/braces"
"braces","3.0.2","MIT","https://github.com/micromatch/braces"
"browserslist","4.21.4","MIT","https://github.com/browserslist/browserslist"
"bser","2.1.1","Apache-2.0","https://github.com/facebook/watchman"
"buffer-crc32","0.2.13","MIT","https://github.com/brianloveswords/buffer-crc32"
"buffer-from","1.1.2","MIT","https://github.com/LinusU/buffer-from"
"buffer","5.7.1","MIT","https://github.com/feross/buffer"
"builtin-modules","3.3.0","MIT","https://github.com/sindresorhus/builtin-modules"
"bytes","3.0.0","MIT","https://github.com/visionmedia/bytes.js"
"bytes","3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"cache-base","1.0.1","MIT","https://github.com/jonschlinkert/cache-base"
"call-bind","1.0.2","MIT","https://github.com/ljharb/call-bind"
"caller-callsite","2.0.0","MIT","https://github.com/sindresorhus/caller-callsite"
"caller-path","2.0.0","MIT","https://github.com/sindresorhus/caller-path"
"callsites","2.0.0","MIT","https://github.com/sindresorhus/callsites"
"camelcase","5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase","6.3.0","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-lite","1.0.30001402","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"chalk","1.1.3","MIT","https://github.com/chalk/chalk"
"chalk","2.4.2","MIT","https://github.com/chalk/chalk"
"chalk","4.1.2","MIT","https://github.com/chalk/chalk"
"chardet","0.7.0","MIT","https://github.com/runk/node-chardet"
"chrome-trace-event","1.0.3","MIT","https://github.com/samccone/chrome-trace-event"
"ci-info","2.0.0","MIT","https://github.com/watson/ci-info"
"ci-info","3.7.0","MIT","https://github.com/watson/ci-info"
"class-utils","0.3.6","MIT","https://github.com/jonschlinkert/class-utils"
"cli-cursor","3.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-spinners","2.6.1","MIT","https://github.com/sindresorhus/cli-spinners"
"cli-width","3.0.0","ISC","https://github.com/knownasilya/cli-width"
"cliui","6.0.0","ISC","https://github.com/yargs/cliui"
"cliui","7.0.4","ISC","https://github.com/yargs/cliui"
"clone-deep","4.0.1","MIT","https://github.com/jonschlinkert/clone-deep"
"clone","1.0.4","MIT","https://github.com/pvorb/node-clone"
"code-push","4.0.5","MIT","https://github.com/Microsoft/code-push"
"collection-visit","1.0.0","MIT","https://github.com/jonschlinkert/collection-visit"
"color-convert","1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert","2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name","1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name","1.1.4","MIT","https://github.com/colorjs/color-name"
"color-string","1.9.0","MIT","https://github.com/Qix-/color-string"
"color","3.2.1","MIT","https://github.com/Qix-/color"
"colorette","1.4.0","MIT","https://github.com/jorgebucaran/colorette"
"colorette","2.0.16","MIT","https://github.com/jorgebucaran/colorette"
"colors","1.1.2","MIT","https://github.com/Marak/colors.js"
"combined-stream","1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"command-exists","1.2.9","MIT","https://github.com/mathisonian/command-exists"
"commander","2.13.0","MIT","https://github.com/tj/commander.js"
"commander","2.20.3","MIT","https://github.com/tj/commander.js"
"commander","7.2.0","MIT","https://github.com/tj/commander.js"
"commander","9.4.1","MIT","https://github.com/tj/commander.js"
"commondir","1.0.1","MIT","https://github.com/substack/node-commondir"
"component-emitter","1.3.0","MIT","https://github.com/component/emitter"
"compressible","2.0.18","MIT","https://github.com/jshttp/compressible"
"compression","1.7.4","MIT","https://github.com/expressjs/compression"
"concat-map","0.0.1","MIT","https://github.com/substack/node-concat-map"
"connect","3.7.0","MIT","https://github.com/senchalabs/connect"
"convert-source-map","1.9.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookiejar","2.1.3","MIT","https://github.com/bmeck/node-cookiejar"
"copy-descriptor","0.1.1","MIT","https://github.com/jonschlinkert/copy-descriptor"
"core-js-compat","3.25.1","MIT","https://github.com/zloirock/core-js"
"core-js","2.6.12","MIT","https://github.com/zloirock/core-js"
"core-util-is","1.0.3","MIT","https://github.com/isaacs/core-util-is"
"cosmiconfig","5.2.1","MIT","https://github.com/davidtheclark/cosmiconfig"
"cross-fetch","3.1.5","MIT","https://github.com/lquixada/cross-fetch"
"cross-spawn","6.0.5","MIT","https://github.com/moxystudio/node-cross-spawn"
"cross-spawn","7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"css-select","2.1.0","BSD-2-Clause","https://github.com/fb55/css-select"
"css-tree","1.1.3","MIT","https://github.com/csstree/csstree"
"css-what","3.4.2","BSD-2-Clause","https://github.com/fb55/css-what"
"data-uri-to-buffer","3.0.1","MIT","https://github.com/TooTallNate/node-data-uri-to-buffer"
"dateformat","3.0.3","MIT","https://github.com/felixge/node-dateformat"
"dayjs","1.11.7","MIT","https://github.com/iamkun/dayjs"
"debug","2.6.9","MIT","https://github.com/visionmedia/debug"
"debug","4.3.4","MIT","https://github.com/debug-js/debug"
"decamelize","1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"decode-uri-component","0.2.0","MIT","https://github.com/SamVerschueren/decode-uri-component"
"deep-assign","3.0.0","MIT","https://github.com/sindresorhus/deep-assign"
"deep-is","0.1.4","MIT","https://github.com/thlorenz/deep-is"
"deepmerge","3.3.0","MIT","https://github.com/TehShrike/deepmerge"
"deepmerge","4.2.2","MIT","https://github.com/TehShrike/deepmerge"
"defaults","1.0.3","MIT","https://github.com/tmpvar/defaults"
"define-property","0.2.5","MIT","https://github.com/jonschlinkert/define-property"
"define-property","1.0.0","MIT","https://github.com/jonschlinkert/define-property"
"define-property","2.0.2","MIT","https://github.com/jonschlinkert/define-property"
"degenerator","3.0.2","MIT","https://github.com/TooTallNate/node-degenerator"
"delayed-stream","1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"denodeify","1.2.1","MIT","https://github.com/matthew-andrews/denodeify"
"depd","2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"deprecated-react-native-prop-types","4.0.0","MIT","https://github.com/facebook/react-native-deprecated-modules"
"destroy","1.2.0","MIT","https://github.com/stream-utils/destroy"
"detect-file","1.0.0","MIT","https://github.com/doowb/detect-file"
"detect-node","2.1.0","MIT","https://github.com/iliakan/detect-node"
